w,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0.0,24.288107202680067,11.041009463722396,2.197802197802198,0.8547008547008548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,53.51170568561873,41.3854351687389,23.97094430992736,12.455516014234876,5.7894736842105265,2.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2,62.53968253968254,54.19664268585131,37.27034120734909,22.36024844720497,9.92063492063492,5.978260869565218,1.3888888888888888,0.847457627118644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3,74.31693989071039,63.75404530744336,48.80239520958084,34.91525423728813,18.95910780669145,10.087719298245611,5.084745762711865,2.083333333333333,0.8928571428571428,1.0638297872340423,0.0,0.0,0.0,0.0,0.0,,
4,84.11214953271028,76.9607843137255,62.86764705882353,48.36065573770492,31.64556962025317,16.0,10.144927536231885,3.4482758620689653,1.45985401459854,0.8264462809917356,0.0,0.0,0.0,0.0,,,
5,91.17647058823528,84.28571428571429,74.34782608695653,61.92660550458715,45.41284403669725,26.288659793814436,15.135135135135137,7.650273224043716,2.027027027027027,0.7246376811594203,0.0,0.0,0.0,,,,
6,95.74468085106383,87.09677419354838,83.04093567251462,73.68421052631578,58.94736842105262,40.909090909090914,25.730994152046783,14.374999999999998,5.797101449275362,2.307692307692308,0.0,0.0,,,,,
7,100.0,92.7536231884058,91.8032786885246,83.73493975903614,72.43243243243244,53.987730061349694,35.714285714285715,21.25,7.5,2.8368794326241136,0.0,,,,,,
8,100.0,96.15384615384616,96.7032967032967,89.43089430894308,82.0,66.87898089171973,48.10126582278481,34.24657534246575,13.533834586466163,0.0,,,,,,,
9,100.0,97.2972972972973,97.33333333333334,96.26168224299066,92.85714285714286,82.44274809160305,67.16417910447761,48.41269841269841,41.17647058823529,,,,,,,,
10,100.0,100.0,98.36065573770492,98.87640449438202,100.0,94.017094017094,83.07692307692308,88.88888888888889,,,,,,,,,
11,100.0,100.0,100.0,98.64864864864865,99.01960784313728,97.14285714285714,100.0,,,,,,,,,,
12,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,
13,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,
14,100.0,100.0,100.0,100.0,,,,,,,,,,,,,
15,100.0,100.0,,,,,,,,,,,,,,,
16,100.0,,,,,,,,,,,,,,,,
